what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1348510506960
locale,sysinfo,,,"fr_FR",1348510506960
processors,sysinfo,,,"4",1348510506960
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348510506960
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1348510506960
java.specification.name,sysinfo,,,"Java Platform API Specification",1348510506960
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348510506960
java.specification.version,sysinfo,,,"1.6",1348510506960
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1348510506960
java.version,sysinfo,,,"1.6.0_24",1348510506960
java.vm.info,sysinfo,,,"mixed mode",1348510506960
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348510506960
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348510506960
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348510506960
java.vm.specification.version,sysinfo,,,"1.0",1348510506960
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1348510506960
